dtmnfr;dtmn;freguesia_dsg
041233;0412;Vilar de Peregrinos
041234;0412;Vilar Seco de Lomba
041235;0412;Vinhais
041236;0412;União das freguesias de Curopos e Vale de Janeiro
041237;0412;União das freguesias de Moimenta e Montouto
041238;0412;União das freguesias de Nunes e Ousilhão
041239;0412;União das freguesias de Quirás e Pinheiro Novo
041240;0412;União das freguesias de Sobreiro de Baixo e Alvaredos
041241;0412;União das freguesias de Soeira, Fresulfe e Mofreita
041242;0412;União das freguesias de Travanca e Santa Cruz
041243;0412;União das freguesias de Vilar de Lomba e São Jomil
050102;0501;Caria
050104;0501;Inguias
050105;0501;Maçainhas
050107;0501;Belmonte
050108;0501;Colmeal da Torre
050201;0502;Alcains
050202;0502;Almaceda
050203;0502;Benquerenças
050205;0502;Castelo Branco
050211;0502;Lardosa
050212;0502;Louriçal do Campo
050214;0502;Malpica do Tejo
050216;0502;Monforte da Beira
050220;0502;Salgueiro do Campo
050221;0502;Santo André das Tojeiras
050222;0502;São Vicente da Beira
050223;0502;Sarzedas
050225;0502;Tinalhas
050226;0502;União das freguesias de Cebolais de Cima e Retaxo
050229;0502;União das freguesias de Freixial e Juncal do Campo
050231;0502;União das freguesias de Póvoa de Rio de Moinhos e Cafede
050232;0502;Escalos de Baixo
050233;0502;Escalos de Cima
050234;0502;Lousa
050235;0502;Mata
050236;0502;Ninho do Açor
050237;0502;Sobral do Campo
050302;0503;Aldeia de São Francisco de Assis
050305;0503;Boidobra
050308;0503;Cortes do Meio
050309;0503;Dominguizo
050310;0503;Erada
050311;0503;Ferro
050312;0503;Orjais
050314;0503;Paul
050315;0503;Peraboa
050318;0503;São Jorge da Beira
050322;0503;Sobral de São Miguel
050324;0503;Tortosendo
050325;0503;Unhais da Serra
050327;0503;Verdelhos
050335;0503;União das freguesias de Covilhã e Canhoso
050337;0503;União das freguesias de Teixoso e Sarzedo
050338;0503;União das freguesias de Vale Formoso e Aldeia do Souto
050339;0503;Barco
050340;0503;Cantar-Galo
050341;0503;Casegas
050342;0503;Coutada
050343;0503;Ourondo
050344;0503;Peso
050345;0503;Vales do Rio
050346;0503;Vila do Carvalho
050401;0504;Alcaide
050402;0504;Alcaria
050403;0504;Alcongosta
050406;0504;Alpedrinha
050408;0504;Barroca
050410;0504;Bogas de Cima
050411;0504;Capinha
050412;0504;Castelejo
050413;0504;Castelo Novo
050416;0504;Fatela
050419;0504;Lavacolhos
050420;0504;Orca
050421;0504;Pêro Viseu
050424;0504;Silvares
050425;0504;Soalheira
050426;0504;Souto da Casa
050427;0504;Telhado
050431;0504;Enxames
050432;0504;Três Povos
050433;0504;União das freguesias de Janeiro de Cima e Bogas de Baixo
050434;0504;União das freguesias de Fundão, Valverde, Donas, Aldeia de Joanes e Aldeia Nova do Cabo
050435;0504;União das freguesias de Póvoa de Atalaia e Atalaia do Campo
050436;0504;União das freguesias de Vale de Prazeres e Mata da Rainha
050502;0505;Aldeia de Santa Margarida
050505;0505;Ladoeiro
050506;0505;Medelim
050509;0505;Oledo
050510;0505;Penha Garcia
050511;0505;Proença-a-Velha
050512;0505;Rosmaninhal
050514;0505;São Miguel de Acha
050516;0505;Toulões
050518;0505;União das freguesias de Idanha-a-Nova e Alcafozes
050519;0505;União das freguesias de Monfortinho e Salvaterra do Extremo
050520;0505;União das freguesias de Monsanto e Idanha-a-Velha
050521;0505;União das freguesias de Zebreira e Segura
050601;0506;Álvaro
050603;0506;Cambas
050605;0506;Isna
050606;0506;Madeirã
050607;0506;Mosteiro
050609;0506;Orvalho
050610;0506;Sarnadas de São Simão
050611;0506;Sobral
050613;0506;Estreito-Vilar Barroco
050614;0506;Oleiros-Amieira
050704;0507;Aranhas
050706;0507;Benquerença
050707;0507;Meimão
050708;0507;Meimoa
050710;0507;Penamacor
050711;0507;Salvador
050712;0507;Vale da Senhora da Póvoa
050713;0507;União das freguesias de Aldeia do Bispo, Águas e Aldeia de João Pires
050714;0507;União das freguesias de Pedrógão de São Pedro e Bemposta
050802;0508;Montes da Senhora
050805;0508;São Pedro do Esteval
050807;0508;União das freguesias de Proença-a-Nova e Peral
050808;0508;União das freguesias de Sobreira Formosa e Alvito da Beira
050901;0509;Cabeçudo
050902;0509;Carvalhal
050903;0509;Castelo
050911;0509;Pedrógão Pequeno
050912;0509;Sertã
050913;0509;Troviscal
050914;0509;Várzea dos Cavaleiros
050915;0509;União das freguesias de Cernache do Bonjardim, Nesperal e Palhais
050916;0509;União das freguesias de Cumeada e Marmeleiro
050917;0509;União das freguesias de Ermida e Figueiredo
051001;0510;Fundada
051002;0510;São João do Peso
051003;0510;Vila de Rei
051101;0511;Fratel
051102;0511;Perais
051103;0511;Sarnadas de Ródão
051104;0511;Vila Velha de Ródão
060102;0601;Arganil
060104;0601;Benfeita
060105;0601;Celavisa
060109;0601;Folques
060111;0601;Piódão
060112;0601;Pomares
060113;0601;Pombeiro da Beira
060114;0601;São Martinho da Cortiça
060115;0601;Sarzedo
060116;0601;Secarias
060119;0601;União das freguesias de Cepos e Teixeira
060120;0601;União das freguesias de Cerdeira e Moura da Serra
060121;0601;União das freguesias de Côja e Barril de Alva
060122;0601;União das freguesias de Vila Cova de Alva e Anseriz
060201;0602;Ançã
060203;0602;Cadima
060205;0602;Cordinhã
060207;0602;Febres
060208;0602;Murtede
060209;0602;Ourentã
060214;0602;Tocha
060215;0602;São Caetano
060218;0602;Sanguinheira
060221;0602;União das freguesias de Covões e Camarneira
060222;0602;União das freguesias de Portunhos e Outil
060223;0602;União das freguesias de Sepins e Bolho
060224;0602;União das freguesias de Vilamar e Corticeiro de Cima
060225;0602;Cantanhede
060226;0602;Pocariça
060301;0603;Almalaguês
060309;0603;Brasfemes
060311;0603;Ceira
060312;0603;Cernache
060318;0603;Santo António dos Olivais
060320;0603;São João do Campo
060324;0603;São Silvestre
060329;0603;Torres do Mondego
060332;0603;União das freguesias de Antuzede e Vil de Matos
060333;0603;União das freguesias de Assafarge e Antanhol
060334;0603;União das freguesias de Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)
060335;0603;União das freguesias de Eiras e São Paulo de Frades
060336;0603;União das freguesias de Santa Clara e Castelo Viegas
060337;0603;União das freguesias de São Martinho de Árvore e Lamarosa
060338;0603;União das freguesias de São Martinho do Bispo e Ribeira de Frades
060339;0603;União das freguesias de Souselas e Botão
060340;0603;União das freguesias de Taveiro, Ameal e Arzila
060341;0603;União das freguesias de Trouxemil e Torre de Vilela
060401;0604;Anobra
060406;0604;Ega
060407;0604;Furadouro
060410;0604;Zambujal
060411;0604;União das freguesias de Condeixa-a-Velha e Condeixa-a-Nova
060412;0604;União das freguesias de Sebal e Belide
060413;0604;União das freguesias de Vila Seca e Bem da Fé
060502;0605;Alqueidão
060507;0605;Maiorca
060508;0605;Marinha das Ondas
060512;0605;Tavarede
060513;0605;Vila Verde
060514;0605;São Pedro
060515;0605;Bom Sucesso
060518;0605;Moinhos da Gândara
060522;0605;Lavos
060523;0605;Paião
060524;0605;Quiaios
060525;0605;Alhadas
060526;0605;Brenha
060527;0605;Buarcos
060528;0605;Ferreira-a-Nova
060529;0605;Santana
060530;0605;São Julião da Figueira da Foz
060601;0606;Alvares
060604;0606;Góis
060605;0606;Vila Nova do Ceira
060606;0606;União das freguesias de Cadafaz e Colmeal
060704;0607;Serpins
060706;0607;Gândaras
060707;0607;União das freguesias de Foz de Arouce e Casal de Ermio
060709;0607;Lousã
060710;0607;Vilarinho
060801;0608;Mira
060802;0608;Seixo
060803;0608;Carapelhos
060804;0608;Praia de Mira
060901;0609;Lamas
060902;0609;Miranda do Corvo
060905;0609;Vila Nova
060906;0609;União das freguesias de Semide e Rio Vide
061002;0610;Arazede
061003;0610;Carapinheira
061005;0610;Liceia
061006;0610;Meãs do Campo
061008;0610;Pereira
061009;0610;Santo Varão
061010;0610;Seixo de Gatões
061011;0610;Tentúgal
061014;0610;Ereira
061015;0610;União das freguesias de Abrunheira, Verride e Vila Nova da Barca
061016;0610;União das freguesias de Montemor-o-Velho e Gatões
061101;0611;Aldeia das Dez
061102;0611;Alvoco das Várzeas
061103;0611;Avô
061104;0611;Bobadela
061106;0611;Lagares
061109;0611;Lourosa
061110;0611;Meruge
061111;0611;Nogueira do Cravo
061115;0611;São Gião
061118;0611;Seixo da Beira
061119;0611;Travanca de Lagos
061123;0611;União das freguesias de Lagos da Beira e Lajeosa
061124;0611;União das freguesias de Oliveira do Hospital e São Paio de Gramaços
061125;0611;União das freguesias de Penalva de Alva e São Sebastião da Feira
061126;0611;União das freguesias de Santa Ovaia e Vila Pouca da Beira
061127;0611;Ervedal
061128;0611;Vila Franca da Beira
061201;0612;Cabril
061202;0612;Dornelas do Zêzere
061204;0612;Janeiro de Baixo
061206;0612;Pampilhosa da Serra
061207;0612;Pessegueiro
061209;0612;Unhais-o-Velho
061211;0612;Fajão-Vidual
061212;0612;Portela do Fojo-Machio
061301;0613;Carvalho
061302;0613;Figueira de Lorvão
061304;0613;Lorvão
061307;0613;Penacova
061310;0613;Sazes do Lorvão
061312;0613;União das freguesias de Friúmes e Paradela
061313;0613;União das freguesias de Oliveira do Mondego e Travanca do Mondego
061314;0613;União das freguesias de São Pedro de Alva e São Paio de Mondego
061401;0614;Cumeeira
061402;0614;Espinhal
061403;0614;Podentes
061407;0614;União das freguesias de São Miguel, Santa Eufémia e Rabaçal
061501;0615;Alfarelos
061504;0615;Figueiró do Campo
061506;0615;Granja do Ulmeiro
061508;0615;Samuel
061509;0615;Soure
061510;0615;Tapéus
061511;0615;Vila Nova de Anços
061512;0615;Vinha da Rainha
061513;0615;União das freguesias de Degracias e Pombalinho
061514;0615;União das freguesias de Gesteira e Brunhós
061602;0616;Candosa
061603;0616;Carapinha
061608;0616;Midões
061609;0616;Mouronho
061611;0616;Póvoa de Midões
061612;0616;São João da Boa Vista
061614;0616;Tábua
061616;0616;União das freguesias de Ázere e Covelo
061617;0616;União das freguesias de Covas e Vila Nova de Oliveirinha
061618;0616;União das freguesias de Espariz e Sinde
061619;0616;União das freguesias de Pinheiro de Coja e Meda de Mouros
061701;0617;Arrifana
061702;0617;Lavegadas
061703;0617;Poiares (Santo André)
061704;0617;São Miguel de Poiares
070103;0701;Santiago Maior
070104;0701;Capelins (Santo António)
070105;0701;Terena (São Pedro)
070107;0701;União das freguesias de Alandroal, São Brás dos Matos e Juromenha
070201;0702;Arraiolos
070202;0702;Igrejinha
070206;0702;Vimieiro
070209;0702;União das freguesias de São Gregório e Santa Justa
070210;0702;Gafanhoeira (São Pedro)
070211;0702;Sabugueiro
070301;0703;Borba (Matriz)
070302;0703;Orada
070303;0703;Rio de Moinhos
070304;0703;Borba (São Bartolomeu)
070401;0704;Arcos
070402;0704;Glória
070404;0704;Évora Monte (Santa Maria)
070411;0704;São Domingos de Ana Loura
070413;0704;Veiros
070414;0704;União das freguesias de Estremoz (Santa Maria e Santo André)
070415;0704;União das freguesias de São Bento do Cortiço e Santo Estêvão
070416;0704;União das freguesias de São Lourenço de Mamporcão e São Bento de Ana Loura
070417;0704;União das freguesias do Ameixial (Santa Vitória e São Bento)
070502;0705;Nossa Senhora da Graça do Divor
070503;0705;Nossa Senhora de Machede
070506;0705;São Bento do Mato
070509;0705;São Miguel de Machede
070513;0705;Torre de Coelheiros
070515;0705;Canaviais
070522;0705;União das freguesias de Bacelo e Senhora da Saúde
070523;0705;União das freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão)
070524;0705;União das freguesias de Malagueira e Horta das Figueiras
070525;0705;União das freguesias de Nossa Senhora da Tourega e Nossa Senhora de Guadalupe
070526;0705;União das freguesias de São Manços e São Vicente do Pigeiro
070527;0705;União das freguesias de São Sebastião da Giesteira e Nossa Senhora da Boa Fé
070601;0706;Cabrela
070605;0706;Santiago do Escoural
070606;0706;São Cristóvão
070607;0706;Ciborro
070610;0706;Foros de Vale de Figueira
070613;0706;Cortiçadas de Lavre
070614;0706;Lavre
070615;0706;Nossa Senhora da Vila
070616;0706;Nossa Senhora do Bispo
070617;0706;Silveiras
070701;0707;Brotas
070702;0707;Cabeção
070703;0707;Mora
070704;0707;Pavia
070801;0708;Granja
070802;0708;Luz
070803;0708;Mourão
070903;0709;Monte do Trigo
070905;0709;Portel
070906;0709;Santana
070908;0709;Vera Cruz
070911;0709;Alqueva
070912;0709;Amieira
070913;0709;Oriola
070914;0709;São Bartolomeu do Outeiro
071001;0710;Montoito
071002;0710;Redondo
071102;0711;Corval
071103;0711;Monsaraz
071104;0711;Reguengos de Monsaraz
071106;0711;União das freguesias de Campo e Campinho
071201;0712;Vendas Novas
071202;0712;Landeira
071301;0713;Alcáçovas
071302;0713;Viana do Alentejo
071303;0713;Aguiar
071401;0714;Bencatel
071402;0714;Ciladas
071404;0714;Pardais
071406;0714;Nossa Senhora da Conceição e São Bartolomeu
080102;0801;Guia
080103;0801;Paderne
080104;0801;Ferreiras
080106;0801;Albufeira e Olhos de Água
080202;0802;Giões
080203;0802;Martim Longo
080205;0802;Vaqueiros
080206;0802;União das freguesias de Alcoutim e Pereiro
080301;0803;Aljezur
080302;0803;Bordeira
080303;0803;Odeceixe
080304;0803;Rogil
080401;0804;Azinhal
080402;0804;Castro Marim
080403;0804;Odeleite
080404;0804;Altura
080503;0805;Santa Bárbara de Nexe
080506;0805;Montenegro
080508;0805;União das freguesias de Faro (Sé e São Pedro)
080509;0805;Conceição
080510;0805;Estoi
080602;0806;Ferragudo
080604;0806;Porches
080607;0806;União das freguesias de Estômbar e Parchal
080608;0806;União das freguesias de Lagoa e Carvoeiro
080703;0807;Luz
080704;0807;Odiáxere
080708;0807;São Gonçalo de Lagos
080709;0807;Barão de São João
080710;0807;Bensafrim
080801;0808;Almancil
080802;0808;Alte
080803;0808;Ameixial
080804;0808;Boliqueime
080805;0808;Quarteira
080807;0808;Salir
080808;0808;Loulé (São Clemente)
080809;0808;Loulé (São Sebastião)
080813;0808;Benafim
080814;0808;Querença
080815;0808;Tôr
080901;0809;Alferce
080902;0809;Marmelete
080903;0809;Monchique
081003;0810;Olhão
081004;0810;Pechão
081005;0810;Quelfes
081007;0810;Fuseta
081008;0810;Moncarapacho
081101;0811;Alvor
081102;0811;Mexilhoeira Grande
081103;0811;Portimão
081201;0812;São Brás de Alportel
081303;0813;Armação de Pêra
081305;0813;São Bartolomeu de Messines
081306;0813;São Marcos da Serra
081307;0813;Silves
081311;0813;Alcantarilha
081312;0813;Algoz
081313;0813;Pêra
081314;0813;Tunes
081401;0814;Cachopo
081404;0814;Santa Catarina da Fonte do Bispo
081408;0814;Santa Luzia
081412;0814;União das freguesias de Tavira (Santa Maria e Santiago)
081413;0814;Cabanas de Tavira
081414;0814;Conceição
081415;0814;Luz de Tavira
081416;0814;Santo Estêvão
081501;0815;Barão de São Miguel
081502;0815;Budens
081504;0815;Sagres
081506;0815;Vila do Bispo e Raposeira
081601;0816;Vila Nova de Cacela
081602;0816;Vila Real de Santo António
081603;0816;Monte Gordo
090102;0901;Carapito
090103;0901;Cortiçada
090105;0901;Dornelas
090106;0901;Eirado
090107;0901;Forninhos
090109;0901;Pena Verde
090110;0901;Pinheiro
090114;0901;União das freguesias de Aguiar da Beira e Coruche
090115;0901;União das freguesias de Sequeiros e Gradiz
090116;0901;União das freguesias de Souto de Aguiar da Beira e Valverde
090203;0902;Almeida
090207;0902;Castelo Bom
090209;0902;Freineda
090210;0902;Freixo
090213;0902;Malhada Sorda
090219;0902;Nave de Haver
090224;0902;São Pedro de Rio Seco
090227;0902;Vale da Mula
090229;0902;Vilar Formoso
090230;0902;União das freguesias de Amoreira, Parada e Cabreira
090231;0902;União das freguesias de Azinhal, Peva e Valverde
090232;0902;União das freguesias de Castelo Mendo, Ade, Monteperobolso e Mesquitela
090233;0902;União das freguesias de Junça e Naves
090234;0902;União das freguesias de Leomil, Mido, Senouras e Aldeia Nova
090235;0902;União das freguesias de Malpartida e Vale de Coelha
090236;0902;União das freguesias de Miuzela e Porto de Ovelha
090302;0903;Baraçal
090304;0903;Carrapichana
090306;0903;Forno Telheiro
090307;0903;Lajeosa do Mondego
090308;0903;Linhares
090309;0903;Maçal do Chão
090310;0903;Mesquitela
090311;0903;Minhocal
090312;0903;Prados
090314;0903;Ratoeira
090318;0903;Vale de Azares
090322;0903;Casas do Soeiro
090323;0903;União das freguesias de Açores e Velosa
090324;0903;União das freguesias de Celorico (São Pedro e Santa Maria) e Vila Boa do Mondego
090325;0903;União das freguesias de Cortiçô da Serra, Vide entre Vinhas e Salgueirais
090326;0903;União das freguesias de Rapa e Cadafaz
090403;0904;Castelo Rodrigo
090406;0904;Escalhão
090408;0904;Figueira de Castelo Rodrigo
090410;0904;Mata de Lobos
090415;0904;Vermiosa
090418;0904;União das freguesias de Algodres, Vale de Afonsinho e Vilar de Amargo
090419;0904;União das freguesias de Almofala e Escarigo
090420;0904;União das freguesias de Cinco Vilas e Reigada
090421;0904;União das freguesias de Freixeda do Torrão, Quintã de Pêro Martins e Penha de Águia
090422;0904;União das freguesias do Colmeal e Vilar Torpim
090501;0905;Algodres
090502;0905;Casal Vasco
090504;0905;Figueiró da Granja
090505;0905;Fornos de Algodres
090507;0905;Infias
090509;0905;Maceira
090510;0905;Matança
090511;0905;Muxagata
090512;0905;Queiriz
090517;0905;União das freguesias de Cortiçô e Vila Chã
090518;0905;União das freguesias de Juncais, Vila Ruiva e Vila Soeiro do Chão
090519;0905;União das freguesias de Sobral Pichorro e Fuinhas
090602;0906;Arcozelo
090603;0906;Cativelos
090605;0906;Folgosinho
090612;0906;Nespereira
090613;0906;Paços da Serra
090614;0906;Ribamondego
090617;0906;São Paio
090619;0906;Vila Cortês da Serra
090620;0906;Vila Franca da Serra
090621;0906;Vila Nova de Tazem
090623;0906;União das freguesias de Aldeias e Mangualde da Serra
090624;0906;União das freguesias de Figueiró da Serra e Freixo da Serra
090625;0906;Gouveia
090626;0906;União das freguesias de Melo e Nabais
090627;0906;União das freguesias de Moimenta da Serra e Vinhó
090628;0906;União das freguesias de Rio Torto e Lagarinhos
090703;0907;Aldeia do Bispo
090704;0907;Aldeia Viçosa
090705;0907;Alvendre
090706;0907;Arrifana
090708;0907;Avelãs da Ribeira
090709;0907;Benespera
090711;0907;Casal de Cinza
090712;0907;Castanheira
090713;0907;Cavadoude
090714;0907;Codesseiro
090716;0907;Faia
090717;0907;Famalicão
090718;0907;Fernão Joanes
090721;0907;Gonçalo Bocas
090722;0907;João Antão
090723;0907;Maçainhas
090724;0907;Marmeleiro
090725;0907;Meios
090728;0907;Panoias de Cima
090729;0907;Pega
090730;0907;Pêra do Moço
090732;0907;Porto da Carne
090734;0907;Ramela
090738;0907;Santana da Azinha
090744;0907;Sobral da Serra
090746;0907;Vale de Estrela
090747;0907;Valhelhas
090748;0907;Vela
090749;0907;Videmonte
090750;0907;Vila Cortês do Mondego
090751;0907;Vila Fernando
090752;0907;Vila Franca do Deão
090753;0907;Vila Garcia
090757;0907;Gonçalo
090758;0907;Guarda
090759;0907;Jarmelo São Miguel
090760;0907;Jarmelo São Pedro
090761;0907;União de freguesias de Avelãs de Ambom e Rocamondo
090762;0907;União de freguesias de Corujeira e Trinta
090763;0907;União de freguesias de Mizarela, Pêro Soares e Vila Soeiro
090764;0907;União de freguesias de Pousade e Albardo
090765;0907;União de freguesias de Rochoso e Monte Margarida
090766;0907;Adão
090801;0908;Sameiro
090802;0908;Manteigas (Santa Maria)
090803;0908;Manteigas (São Pedro)
090804;0908;Vale de Amoreira
090901;0909;Aveloso
090902;0909;Barreira
090905;0909;Coriscada
090907;0909;Longroiva
090908;0909;Marialva
090912;0909;Poço do Canto
090914;0909;Rabaçal
090915;0909;Ranhados
090917;0909;Mêda, Outeiro de Gatos e Fonte Longa
090918;0909;Prova e Casteição
090919;0909;União das freguesias de Vale Flor, Carvalhal e Pai Penela
091009;0910;Ervedosa
091010;0910;Freixedas
091012;0910;Lamegal
091013;0910;Lameiras
091014;0910;Manigoto
091015;0910;Pala
091017;0910;Pinhel
091018;0910;Pínzio
091024;0910;Souro Pires
091027;0910;Vascoveiro
091028;0910;Agregação das freguesias Sul de Pinhel
091029;0910;Alverca da Beira/Bouça Cova
091030;0910;Terras de Massueime
091031;0910;Valbom/Bogalhal
091032;0910;Alto do Palurdo
091033;0910;Vale do Côa
091034;0910;Vale do Massueime
091035;0910;União das freguesias de Atalaia e Safurdão
091101;0911;Águas Belas
091102;0911;Aldeia do Bispo
091103;0911;Aldeia da Ponte
091106;0911;Aldeia Velha
091107;0911;Alfaiates
091109;0911;Baraçal
091110;0911;Bendada
091111;0911;Bismula
091112;0911;Casteleiro
091113;0911;Cerdeira
091114;0911;Fóios
091118;0911;Malcata
091120;0911;Nave
091123;0911;Quadrazais
091124;0911;Quintas de São Bartolomeu
091125;0911;Rapoula do Côa
091126;0911;Rebolosa
091127;0911;Rendo
091133;0911;Sortelha
091134;0911;Souto
091136;0911;Vale de Espinho
091138;0911;Vila Boa
091139;0911;Vila do Touro
091141;0911;União das freguesias de Aldeia da Ribeira, Vilar Maior e Badamalos
091142;0911;União das freguesias de Lajeosa e Forcalhos
091143;0911;União das freguesias de Pousafoles do Bispo, Pena Lobo e Lomba
091144;0911;União das freguesias de Ruvina, Ruivós e Vale das Éguas
091145;0911;União das freguesias do Sabugal e Aldeia de Santo António
091146;0911;União das freguesias de Santo Estêvão e Moita
091147;0911;União das freguesias de Seixo do Côa e Vale Longo
091201;0912;Alvoco da Serra
091205;0912;Girabolhos
091207;0912;Loriga
091208;0912;Paranhos
091209;0912;Pinhanços
091210;0912;Sabugueiro
091212;0912;Sandomil
091213;0912;Santa Comba
091216;0912;Santiago
091219;0912;Sazes da Beira
091221;0912;Teixeira
091224;0912;Travancinha
091225;0912;Valezim
091228;0912;Vila Cova à Coelheira
091230;0912;União das freguesias de Carragozela e Várzea de Meruge
091231;0912;União das freguesias de Sameice e Santa Eulália
091234;0912;União das freguesias de Torrozelo e Folhadosa
091235;0912;União das freguesias de Tourais e Lajes
091236;0912;União das freguesias de Vide e Cabeça
091237;0912;Lapa dos Dinheiros
091238;0912;Santa Marinha
091239;0912;São Martinho
091240;0912;São Romão
091241;0912;Seia
091301;0913;Aldeia Nova
091303;0913;Castanheira
091304;0913;Cogula
091305;0913;Cótimos
091307;0913;Fiães
091309;0913;Granja
091310;0913;Guilheiro
091311;0913;Moimentinha
091312;0913;Moreira de Rei
091313;0913;Palhais
091314;0913;Póvoa do Concelho
091315;0913;Reboleiro
091316;0913;Rio de Mel
091321;0913;Tamanhos
091325;0913;Valdujo
091330;0913;União das freguesias de Freches e Torres
091331;0913;União das freguesias de Torre do Terrenho, Sebadelhe da Serra e Terrenho
091332;0913;União das freguesias de Trancoso (São Pedro e Santa Maria) e Souto Maior
091333;0913;União das freguesias de Vale do Seixo e Vila Garcia
091334;0913;União das freguesias de Vila Franca das Naves e Feital
091335;0913;União das freguesias de Vilares e Carnicães
091401;0914;Almendra
091402;0914;Castelo Melhor
091403;0914;Cedovim
091404;0914;Chãs
091405;0914;Custóias
091407;0914;Horta
091410;0914;Muxagata
091411;0914;Numão
091412;0914;Santa Comba
091414;0914;Sebadelhe
091415;0914;Seixas
091416;0914;Touça
091418;0914;Freixo de Numão
091419;0914;Vila Nova de Foz Côa
100102;1001;Alfeizerão
100104;1001;Bárrio
100105;1001;Benedita
100106;1001;Cela
100108;1001;Évora de Alcobaça
100109;1001;Maiorga
100112;1001;São Martinho do Porto
100114;1001;Turquel
100116;1001;Vimeiro
100120;1001;Aljubarrota
100121;1001;União das freguesias de Alcobaça e Vestiaria
100122;1001;União das freguesias de Coz, Alpedriz e Montes
100123;1001;União das freguesias de Pataias e Martingança
100201;1002;Almoster
100204;1002;Maçãs de Dona Maria
100205;1002;Pelmá
100208;1002;Alvaiázere
100209;1002;Pussos São Pedro
100301;1003;Alvorge
100303;1003;Avelar
100304;1003;Chão de Couce
100306;1003;Pousaflores
100307;1003;Santiago da Guarda
100309;1003;Ansião
100401;1004;Batalha
100402;1004;Reguengo do Fetal
100403;1004;São Mamede
100404;1004;Golpilheira
100502;1005;Carvalhal
100503;1005;Roliça
100505;1005;Pó
100506;1005;União das freguesias do Bombarral e Vale Covo
100601;1006;A dos Francos
100602;1006;Alvorninha
100604;1006;Carvalhal Benfeito
100606;1006;Foz do Arelho
100607;1006;Landal
100608;1006;Nadadouro
100609;1006;Salir de Matos
100611;1006;Santa Catarina
100615;1006;Vidais
100617;1006;União das freguesias de Caldas da Rainha - Nossa Senhora do Pópulo, Coto e São Gregório
100618;1006;União das freguesias de Caldas da Rainha - Santo Onofre e Serra do Bouro
100619;1006;União das freguesias de Tornada e Salir do Porto
100703;1007;União das freguesias de Castanheira de Pêra e Coentral
100801;1008;Aguda
100802;1008;Arega
100803;1008;Campelo
100806;1008;União das freguesias de Figueiró dos Vinhos e Bairradas
100901;1009;Amor
100902;1009;Arrabal
100907;1009;Caranguejeira
100909;1009;Coimbrão
100913;1009;Maceira
100915;1009;Milagres
100921;1009;Regueira de Pontes
100925;1009;Bajouca
100926;1009;Bidoeira de Cima
100932;1009;União das freguesias de Colmeias e Memória
100933;1009;União das freguesias de Leiria, Pousos, Barreira e Cortes
100934;1009;União das freguesias de Marrazes e Barosa
100935;1009;União das freguesias de Monte Real e Carvide
100937;1009;União das freguesias de Parceiros e Azoia
100938;1009;União das freguesias de Santa Catarina da Serra e Chainça
100939;1009;União das freguesias de Santa Eufémia e Boa Vista
100941;1009;Carreira
100942;1009;Monte Redondo
100943;1009;Ortigosa
100944;1009;Souto da Carpalhosa
101001;1010;Marinha Grande
101002;1010;Vieira de Leiria
101003;1010;Moita
101101;1011;Famalicão
101102;1011;Nazaré
101103;1011;Valado dos Frades
101201;1012;A dos Negros
101202;1012;Amoreira
101203;1012;Olho Marinho
101207;1012;Vau
101208;1012;Gaeiras
101209;1012;Usseira
101210;1012;Santa Maria, São Pedro e Sobral da Lagoa
101301;1013;Graça
101302;1013;Pedrógão Grande
101303;1013;Vila Facaia
101402;1014;Atouguia da Baleia
101405;1014;Serra d'El-Rei
101406;1014;Ferrel
101407;1014;Peniche
101501;1015;Abiul
101503;1015;Almagreira
101504;1015;Carnide
101505;1015;Carriço
101506;1015;Louriçal
101508;1015;Pelariga
101509;1015;Pombal
101510;1015;Redinha
101513;1015;Vermoil
101514;1015;Vila Cã
101515;1015;Meirinhas
101520;1015;Albergaria dos Doze
101521;1015;Guia
101522;1015;Ilha
101523;1015;Mata Mourisca
101524;1015;Santiago de Litém
101525;1015;São Simão de Litém
101602;1016;Alqueidão da Serra
101605;1016;Calvaria de Cima
101606;1016;Juncal
101608;1016;Mira de Aire
101609;1016;Pedreiras
101610;1016;São Bento
101613;1016;Serro Ventoso
101614;1016;Porto de Mós - São João Baptista e São Pedro
101615;1016;União das freguesias de Alvados e Alcaria
101616;1016;União das freguesias de Arrimal e Mendiga
110106;1101;Carnota
110107;1101;Meca
110108;1101;Olhalvo
110109;1101;Ota
110113;1101;Ventosa
110114;1101;Vila Verde dos Francos
110117;1101;União das freguesias de Abrigada e Cabanas de Torres
110118;1101;União das freguesias de Aldeia Galega da Merceana e Aldeia Gavinha
110119;1101;União das freguesias de Alenquer (Santo Estêvão e Triana)
110120;1101;União das freguesias de Carregado e Cadafais
110121;1101;União das freguesias de Ribafria e Pereiro de Palhacana
110201;1102;Arranhó
110202;1102;Arruda dos Vinhos
110203;1102;Cardosas
110204;1102;S. Tiago dos Velhos
110301;1103;Alcoentre
110302;1103;Aveiras de Baixo
110303;1103;Aveiras de Cima
110304;1103;Azambuja
110306;1103;Vale do Paraíso
110307;1103;Vila Nova da Rainha
110310;1103;União das freguesias de Manique do Intendente, Vila Nova de São Pedro e Maçussa
110401;1104;Alguber
110407;1104;Peral
110409;1104;Vermelha
